filename,title,source,url,topic,lang,role
CL_Ley_19162_Clasificacion_Ganado_Carnes.pdf,Ley 19.162 - Clasificación de ganado y tipificación de carnes,BCN Chile (FAOLEX),https://faolex.fao.org/docs/pdf/chi5567.pdf,legal,es,answerable
CL_Decreto_28_2013_Bienestar_Faenamiento.pdf,Decreto 28/2013 - Protección de animales al momento del beneficio,BCN Chile (FAOLEX),https://faolex.fao.org/docs/pdf/chi161656.pdf,legal,es,answerable
CL_Decreto_977_Reglamento_Sanitario_Alimentos.pdf,Decreto 977/96 - Reglamento Sanitario de los Alimentos (vigente may-2024),MINSAL Chile,https://www.minsal.cl/wp-content/uploads/2015/10/DECRETO_977_96_actualizado_-mayo-2024.pdf,legal,es,answerable
CL_Ley_21179_Etiquetado_Leche.pdf,Ley 21.179 - Etiquetado del tratamiento térmico de la leche,BCN Chile (FAOLEX),https://faolex.fao.org/docs/pdf/chi192259.pdf,legal,es,answerable
CL_CIREN_Manual_Manejo_Ovino.pdf,Manual de manejo ovino,CIREN Chile,https://bibliotecadigital.ciren.cl/server/api/core/bitstreams/dbab580e-babb-4c67-b2c1-57fa2e42d7c3/content,livestock,es,answerable
FAO_SmallScale_Aquaponic_Food_Production_589.pdf,Small-scale Aquaponic Food Production (FAO Tech. Paper 589),FAO,https://openknowledge.fao.org/server/api/core/bitstreams/2ca21047-390f-42cd-bd1d-0c2ebc9c1df2/content,aquaculture,en,answerable
Rudolf Steiner The Agriculture Course(8 Lectures).pdf,The Agriculture Course (8 Lectures),"Rudolf Steiner (public domain, d.1925)",,biodynamics,en,answerable
Bill_Mollison-Permaculture_Design_Course .pdf,Permaculture Design Course (Pamphlet Series),Yankee Permaculture (public domain),,permaculture,en,answerable
Permaculture_in_Humid_Landscapes.pdf,Permaculture in Humid Landscapes,Yankee Permaculture (public domain),,permaculture,en,answerable
From_Agriculture_to_Permaculture.pdf,From Agriculture to Permaculture,Yankee Permaculture (public domain),,permaculture,en,answerable
Esencia_PC_Espanol_eBook.pdf.pdf,La Esencia de la Permacultura,David Holmgren (distribucion libre),,permaculture,es,answerable
An_introduction_to_permaculture_sheet_mulching.pdf,An Introduction to Permaculture Sheet Mulching,open article,,permaculture,en,answerable
Agro-ecología-y-manejo-ecológico-de-suelos.pdf,Agroecología y manejo ecológico de suelos,Ana Primavesi (distribucion libre),,suelos,es,answerable
